vector_row,movieId,title
80,89,Nick of Time
81,92,Mary Reilly
82,93,Vampire in Brooklyn
83,94,Beautiful Girls
84,95,Broken Arrow
85,96,In the Bleak Midwinter
86,97,"Hate (Haine, La)"
87,99,Heidi Fleiss: Hollywood Madam
88,100,City Hall
89,101,Bottle Rocket
90,102,Mr. Wrong
91,103,Unforgettable
92,104,Happy Gilmore
93,105,"Bridges of Madison County, The"
94,106,Nobody Loves Me (Keiner liebt mich)
95,107,Muppet Treasure Island
96,108,Catwalk
97,110,Braveheart
98,111,Taxi Driver
99,112,Rumble in the Bronx (Hont faan kui)
100,113,Before and After
101,116,Anne Frank Remembered
102,117,"Young Poisoner's Handbook, The"
103,118,If Lucy Fell
104,119,"Steal Big, Steal Little"
105,121,"Boys of St. Vincent, The"
106,122,Boomerang
107,123,Chungking Express (Chung Hing sam lam)
108,125,Flirting With Disaster
109,126,"NeverEnding Story III, The"
110,128,Jupiter's Wife
111,129,Pie in the Sky
112,132,Jade
113,135,Down Periscope
114,137,Man of the Year
115,140,Up Close and Personal
116,141,"Birdcage, The"
117,144,"Brothers McMullen, The"
118,145,Bad Boys
119,146,"Amazing Panda Adventure, The"
120,147,"Basketball Diaries, The"
121,148,"Awfully Big Adventure, An"
122,149,Amateur
123,150,Apollo 13
124,151,Rob Roy
125,152,"Addiction, The"
126,153,Batman Forever
127,154,Beauty of the Day (Belle de jour)
128,155,Beyond Rangoon
129,156,Blue in the Face
130,157,Canadian Bacon
131,158,Casper
132,159,Clockers
133,160,Congo
134,161,Crimson Tide
135,162,Crumb
136,163,Desperado
137,164,Devil in a Blue Dress
138,165,Die Hard: With a Vengeance
139,166,"Doom Generation, The"
140,168,First Knight
141,169,Free Willy 2: The Adventure Home
142,170,Hackers
143,171,Jeffrey
144,172,Johnny Mnemonic
145,173,Judge Dredd
146,174,Jury Duty
147,175,Kids
148,176,Living in Oblivion
149,177,Lord of Illusions
150,178,Love & Human Remains
151,179,Mad Love
152,180,Mallrats
153,181,Mighty Morphin Power Rangers: The Movie
154,183,Mute Witness
155,184,Nadja
156,185,"Net, The"
157,186,Nine Months
158,187,Party Girl
159,188,"Prophecy, The"
160,189,Reckless
161,190,Safe
162,191,"Scarlet Letter, The"
163,193,Showgirls
164,194,Smoke
165,195,Something to Talk About
166,196,Species
167,198,Strange Days
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
169,201,Three Wishes
170,202,Total Eclipse
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar"
172,204,Under Siege 2: Dark Territory
173,205,Unstrung Heroes
174,206,Unzipped
175,207,"Walk in the Clouds, A"
176,208,Waterworld
177,209,White Man's Burden
178,210,Wild Bill
179,211,"Browning Version, The"
180,212,Bushwhacked
181,213,Burnt by the Sun (Utomlyonnye solntsem)
182,214,Before the Rain (Pred dozhdot)
183,215,Before Sunrise
184,216,Billy Madison
185,217,"Babysitter, The"
186,218,Boys on the Side
187,219,"Cure, The"
188,220,Castle Freak
189,222,Circle of Friends
190,223,Clerks
191,224,Don Juan DeMarco
192,225,Disclosure
193,227,Drop Zone
194,228,Destiny Turns on the Radio
195,229,Death and the Maiden
196,230,Dolores Claiborne
197,231,Dumb & Dumber (Dumb and Dumber)
198,232,Eat Drink Man Woman (Yin shi nan nu)
199,233,Exotica
200,234,Exit to Eden
201,235,Ed Wood
202,236,French Kiss
203,237,Forget Paris
204,238,Far From Home: The Adventures of Yellow Dog
205,239,"Goofy Movie, A"
206,240,Hideaway
207,241,Fluke
208,242,Farinelli: il castrato
209,243,Gordy
210,246,Hoop Dreams
211,247,Heavenly Creatures
212,248,Houseguest
213,249,Immortal Beloved
214,250,Heavyweights (Heavy Weights)
215,251,"Hunted, The"
216,252,I.Q.
217,253,Interview with the Vampire: The Vampire Chronicles
218,254,Jefferson in Paris
219,255,"Jerky Boys, The"
220,256,Junior
221,257,Just Cause
222,258,"Kid in King Arthur's Court, A"
223,259,Kiss of Death
224,260,Star Wars: Episode IV - A New Hope
225,261,Little Women
226,262,"Little Princess, A"
227,263,Ladybird Ladybird
228,265,Like Water for Chocolate (Como agua para chocolate)
229,266,Legends of the Fall
230,267,Major Payne
231,269,My Crazy Life (Mi vida loca)
232,270,Love Affair
233,271,Losing Isaiah
234,272,"Madness of King George, The"
235,273,Mary Shelley's Frankenstein (Frankenstein)
236,274,Man of the House
237,275,Mixed Nuts
238,276,Milk Money
239,277,Miracle on 34th Street
240,278,Miami Rhapsody
241,279,My Family
242,280,Murder in the First
243,281,Nobody's Fool
244,282,Nell
245,283,New Jersey Drive
246,284,New York Cop (Nyû Yôku no koppu)
247,285,Beyond Bedlam
248,287,Nina Takes a Lover
249,288,Natural Born Killers
250,289,Only You
251,290,Once Were Warriors
252,291,Poison Ivy II
253,292,Outbreak
254,293,Léon: The Professional (a.k.a. The Professional) (Léon)
255,294,"Perez Family, The"
256,295,"Pyromaniac's Love Story, A"
257,296,Pulp Fiction
258,298,Pushing Hands (Tui shou)
259,299,Priest
260,300,Quiz Show
261,301,Picture Bride (Bijo photo)
262,302,"Queen Margot (Reine Margot, La)"
263,303,"Quick and the Dead, The"
264,304,Roommates
265,305,Ready to Wear (Pret-A-Porter)
266,306,Three Colors: Red (Trois couleurs: Rouge)
267,307,Three Colors: Blue (Trois couleurs: Bleu)
268,308,Three Colors: White (Trzy kolory: Bialy)
269,310,Rent-a-Kid
270,311,Relative Fear
271,312,Stuart Saves His Family
272,313,"Swan Princess, The"
273,314,"Secret of Roan Inish, The"
274,315,"Specialist, The"
275,316,Stargate
276,317,"Santa Clause, The"
277,318,"Shawshank Redemption, The"
278,319,Shallow Grave
279,320,Suture
280,321,Strawberry and Chocolate (Fresa y chocolate)
281,322,Swimming with Sharks
282,324,"Sum of Us, The"
283,325,National Lampoon's Senior Trip
284,326,To Live (Huozhe)
285,327,Tank Girl
286,328,Tales from the Crypt Presents: Demon Knight
287,329,Star Trek: Generations
288,330,Tales from the Hood
289,331,Tom & Viv
290,332,Village of the Damned
291,333,Tommy Boy
292,334,Vanya on 42nd Street
293,335,Underneath
294,336,"Walking Dead, The"
295,337,What's Eating Gilbert Grape
296,338,Virtuosity
297,339,While You Were Sleeping
298,340,"War, The"
299,341,Double Happiness
300,342,Muriel's Wedding
301,343,"Baby-Sitters Club, The"
302,344,Ace Ventura: Pet Detective
303,345,"Adventures of Priscilla, Queen of the Desert, The"
304,346,Backbeat
305,347,Bitter Moon
306,348,Bullets Over Broadway
307,349,Clear and Present Danger
308,350,"Client, The"
309,351,"Corrina, Corrina"
310,352,Crooklyn
311,353,"Crow, The"
312,354,Cobb
313,355,"Flintstones, The"
314,356,Forrest Gump
315,357,Four Weddings and a Funeral
316,358,Higher Learning
317,359,I Like It Like That
318,360,I Love Trouble
319,361,It Could Happen to You
320,362,"Jungle Book, The"
321,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)"
322,364,"Lion King, The"
323,365,Little Buddha
324,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
325,367,"Mask, The"
326,368,Maverick
327,369,Mrs. Parker and the Vicious Circle
328,370,Naked Gun 33 1/3: The Final Insult
329,371,"Paper, The"
330,372,Reality Bites
331,373,Red Rock West
332,374,Richie Rich
333,376,"River Wild, The"
334,377,Speed
335,378,Speechless
336,379,Timecop
337,380,True Lies
338,381,When a Man Loves a Woman
339,382,Wolf
340,383,Wyatt Earp
341,384,Bad Company
342,385,"Man of No Importance, A"
343,386,S.F.W.
344,387,"Low Down Dirty Shame, A"
345,388,Boys Life
346,389,"Colonel Chabert, Le"
347,390,Faster Pussycat! Kill! Kill!
348,391,Jason's Lyric
349,393,Street Fighter
350,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)
351,406,Federal Hill
352,407,In the Mouth of Madness
353,408,8 Seconds
354,409,Above the Rim
355,410,Addams Family Values
356,412,"Age of Innocence, The"
357,413,Airheads
358,414,"Air Up There, The"
359,415,Another Stakeout
360,416,Bad Girls
361,417,Barcelona
362,418,Being Human
363,419,"Beverly Hillbillies, The"
364,420,Beverly Hills Cop III
365,421,Black Beauty
366,422,Blink
367,423,Blown Away
368,424,Blue Chips
369,425,Blue Sky
370,426,Body Snatchers
371,427,Boxing Helena
372,428,"Bronx Tale, A"
373,429,Cabin Boy
374,430,Calendar Girl
375,431,Carlito's Way
376,432,City Slickers II: The Legend of Curly's Gold
377,433,Clean Slate
378,434,Cliffhanger
379,435,Coneheads
380,436,Color of Night
381,437,Cops and Robbersons
382,438,"Cowboy Way, The"
383,440,Dave
384,441,Dazed and Confused
385,442,Demolition Man
386,444,Even Cowgirls Get the Blues
387,445,Fatal Instinct
388,446,Farewell My Concubine (Ba wang bie ji)
389,448,Fearless
390,449,Fear of a Black Hat
391,450,With Honors
392,451,Flesh and Bone
393,452,Widows' Peak
394,453,For Love or Money
395,454,"Firm, The"
396,455,Free Willy
397,456,Fresh
398,457,"Fugitive, The"
399,458,Geronimo: An American Legend
400,459,"Getaway, The"
401,460,Getting Even with Dad
402,461,Go Fish
403,464,Hard Target
404,466,Hot Shots! Part Deux
405,467,Live Nude Girls
406,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
407,469,"House of the Spirits, The"
408,470,House Party 3
409,471,"Hudsucker Proxy, The"
410,472,I'll Do Anything
411,473,In the Army Now
412,474,In the Line of Fire
413,475,In the Name of the Father
414,476,"Inkwell, The"
415,477,What's Love Got to Do with It?
416,478,Jimmy Hollywood
417,479,Judgment Night
418,480,Jurassic Park
419,481,Kalifornia
420,482,Killing Zoe
421,484,Lassie
422,485,Last Action Hero
423,486,Life with Mikey
424,487,Lightning Jack
425,488,M. Butterfly
426,489,Made in America
427,490,Malice
428,491,"Man Without a Face, The"
429,492,Manhattan Murder Mystery
430,493,Menace II Society
431,494,Executive Decision
432,495,In the Realm of the Senses (Ai no corrida)
433,496,What Happened Was...
434,497,Much Ado About Nothing
435,499,Mr. Wonderful
436,500,Mrs. Doubtfire
437,501,Naked
438,502,"Next Karate Kid, The"
439,504,No Escape
440,505,North
441,506,Orlando
442,507,"Perfect World, A"
443,508,Philadelphia
444,509,"Piano, The"
445,510,Poetic Justice
446,511,"Program, The"
447,512,"Puppet Masters, The"
448,513,Radioland Murders
449,514,"Ref, The"
450,515,"Remains of the Day, The"
451,516,Renaissance Man
452,517,Rising Sun
453,518,"Road to Wellville, The"
454,519,RoboCop 3
455,520,Robin Hood: Men in Tights
456,521,Romeo Is Bleeding
457,522,Romper Stomper
458,523,Ruby in Paradise
459,524,Rudy
460,526,"Savage Nights (Nuits fauves, Les)"
461,527,Schindler's List
462,528,"Scout, The"
463,529,Searching for Bobby Fischer
464,531,"Secret Garden, The"
465,532,Serial Mom
466,533,"Shadow, The"
467,534,Shadowlands
468,535,Short Cuts
469,536,"Simple Twist of Fate, A"
470,537,Sirens
471,538,Six Degrees of Separation
472,539,Sleepless in Seattle
473,540,Sliver
474,541,Blade Runner
475,542,Son in Law
476,543,So I Married an Axe Murderer
477,544,Striking Distance
478,546,Super Mario Bros.
479,547,Surviving the Game
480,548,Terminal Velocity
481,549,Thirty-Two Short Films About Glenn Gould
482,550,Threesome
483,551,"Nightmare Before Christmas, The"
484,552,"Three Musketeers, The"
485,553,Tombstone
486,555,True Romance
487,556,"War Room, The"
488,558,"Pagemaster, The"
489,562,Welcome to the Dollhouse
490,563,Germinal
491,564,Chasers
492,567,Kika
493,568,Bhaji on the Beach
494,569,Little Big League
495,573,"Ciao, Professore! (Io speriamo che me la cavo)"
496,574,Spanking the Monkey
497,575,"Little Rascals, The"
498,577,Andre
499,579,"Escort, The (Scorta, La)"
500,580,Princess Caraboo
501,581,"Celluloid Closet, The"
502,583,Dear Diary (Caro Diario)
503,585,"Brady Bunch Movie, The"
504,586,Home Alone
505,587,Ghost
506,588,Aladdin
507,589,Terminator 2: Judgment Day
508,590,Dances with Wolves
509,592,Batman
510,593,"Silence of the Lambs, The"
511,594,Snow White and the Seven Dwarfs
512,595,Beauty and the Beast
513,596,Pinocchio
514,597,Pretty Woman
515,599,"Wild Bunch, The"
516,600,Love and a .45
517,602,"Great Day in Harlem, A"
518,605,One Fine Day
519,606,Candyman: Farewell to the Flesh
520,608,Fargo
521,609,Homeward Bound II: Lost in San Francisco
522,610,Heavy Metal
523,611,Hellraiser: Bloodline
524,612,"Pallbearer, The"
525,613,Jane Eyre
526,615,Bread and Chocolate (Pane e cioccolata)
527,616,"Aristocats, The"
528,617,"Flower of My Secret, The (La flor de mi secreto)"
529,618,Two Much
530,619,Ed
531,626,"Thin Line Between Love and Hate, A"
532,627,"Last Supper, The"
533,628,Primal Fear
534,631,All Dogs Go to Heaven 2
535,632,Land and Freedom (Tierra y libertad)
536,633,Denise Calls Up
537,634,Theodore Rex
538,635,"Family Thing, A"
539,636,Frisk
540,637,Sgt. Bilko
541,638,Jack and Sarah
542,639,Girl 6
543,640,Diabolique
544,645,Nelly & Monsieur Arnaud
545,647,Courage Under Fire
546,648,Mission: Impossible
547,649,Cold Fever (Á köldum klaka)
548,650,Moll Flanders
549,653,Dragonheart
550,656,Eddie
551,661,James and the Giant Peach
552,662,Fear
553,663,Kids in the Hall: Brain Candy
554,665,Underground
555,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite)
556,668,Song of the Little Road (Pather Panchali)
557,670,"World of Apu, The (Apur Sansar)"
558,671,Mystery Science Theater 3000: The Movie
559,673,Space Jam
560,674,Barbarella
561,678,Some Folks Call It a Sling Blade
562,679,"Run of the Country, The"
563,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)"
564,685,It's My Party
565,688,Operation Dumbo Drop
566,691,Mrs. Winterbourne
567,692,Solo
568,694,"Substitute, The"
569,695,True Crime
570,697,Feeling Minnesota
571,698,Delta of Venus
572,700,Angus
573,703,Boys
574,704,"Quest, The"
575,706,Sunset Park
576,707,Mulholland Falls
577,708,"Truth About Cats & Dogs, The"
578,709,Oliver & Company
579,710,Celtic Pride
580,711,Flipper
581,714,Dead Man
582,715,"Horseman on the Roof, The (Hussard sur le toit, Le)"
583,718,"Visitors, The (Visiteurs, Les)"
584,719,Multiplicity
585,720,Wallace & Gromit: The Best of Aardman Animation
586,722,"Haunted World of Edward D. Wood Jr., The"
587,724,"Craft, The"
588,725,"Great White Hype, The"
589,726,Last Dance
590,728,Cold Comfort Farm
591,731,Heaven's Prisoners
592,733,"Rock, The"
593,735,Cemetery Man (Dellamorte Dellamore)
594,736,Twister
595,737,Barb Wire
596,741,Ghost in the Shell (Kôkaku kidôtai)
597,742,Thinner
598,743,Spy Hard
599,745,Wallace & Gromit: A Close Shave
600,747,"Stupids, The"
601,748,"Arrival, The"
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
603,757,Ashes of Time (Dung che sai duk)
604,759,Maya Lin: A Strong Clear Vision
605,760,Stalingrad
606,761,"Phantom, The"
607,762,Striptease
608,764,Heavy
609,765,Jack
610,766,I Shot Andy Warhol
611,773,Touki Bouki
612,775,Spirits of the Dead
613,778,Trainspotting
614,779,'Til There Was You
615,780,Independence Day (a.k.a. ID4)
616,781,Stealing Beauty
617,782,"Fan, The"
618,783,"Hunchback of Notre Dame, The"
619,784,"Cable Guy, The"
620,785,Kingpin
621,786,Eraser
622,788,"Nutty Professor, The"
623,790,"Unforgettable Summer, An (Un été inoubliable)"
624,791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The"
625,795,Somebody to Love
626,798,Daylight
627,799,"Frighteners, The"
628,800,Lone Star
629,801,Harriet the Spy
630,802,Phenomenon
631,803,Walking and Talking
632,804,She's the One
633,805,"Time to Kill, A"
634,806,American Buffalo
635,808,Alaska
636,809,Fled
637,810,Kazaam
638,813,Larger Than Life
639,818,"Very Brady Sequel, A"
640,823,"Collector, The (La collectionneuse)"
641,824,Kaspar Hauser
642,828,"Adventures of Pinocchio, The"
643,829,Joe's Apartment
644,830,"First Wives Club, The"
645,832,Ransom
646,833,High School High
647,835,Foxfire
648,836,Chain Reaction
649,837,Matilda
650,838,Emma
651,839,"Crow: City of Angels, The"
652,840,House Arrest
653,841,"Eyes Without a Face (Yeux sans visage, Les)"
654,842,Tales from the Crypt Presents: Bordello of Blood
655,848,"Spitfire Grill, The"
656,849,Escape from L.A.
657,851,Basquiat
658,852,Tin Cup
659,858,"Godfather, The"
660,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha)
661,866,Bound
662,867,Carpool
663,869,Kansas City
664,870,Gone Fishin'
665,875,Nothing to Lose
666,876,Supercop 2 (Project S) (Chao ji ji hua)
667,879,"Relic, The"
668,880,"Island of Dr. Moreau, The"
669,881,First Kid
670,882,"Trigger Effect, The"
671,885,Bogus
672,886,Bulletproof
673,888,Land Before Time III: The Time of the Great Giving
674,889,1-900 (06)
675,891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers)
676,892,Twelfth Night
677,893,Mother Night
678,896,Wild Reeds (Les roseaux sauvages)
679,897,For Whom the Bell Tolls
680,898,"Philadelphia Story, The"
681,899,Singin' in the Rain
682,900,"American in Paris, An"
683,901,Funny Face
684,902,Breakfast at Tiffany's
685,903,Vertigo
686,904,Rear Window
687,905,It Happened One Night
688,906,Gaslight
689,907,"Gay Divorcee, The"
690,908,North by Northwest
691,909,"Apartment, The"
692,910,Some Like It Hot
693,911,Charade
694,912,Casablanca
695,913,"Maltese Falcon, The"
696,914,My Fair Lady
697,915,Sabrina
698,916,Roman Holiday
699,917,"Little Princess, The"
700,918,Meet Me in St. Louis
701,919,"Wizard of Oz, The"
702,920,Gone with the Wind
703,921,My Favorite Year
704,922,Sunset Blvd. (a.k.a. Sunset Boulevard)
705,923,Citizen Kane
706,924,2001: A Space Odyssey
707,926,All About Eve
708,927,"Women, The"
709,928,Rebecca
710,929,Foreign Correspondent
711,930,Notorious
712,931,Spellbound
713,932,"Affair to Remember, An"
714,933,To Catch a Thief
715,934,Father of the Bride
716,935,"Band Wagon, The"
717,936,Ninotchka
718,937,Love in the Afternoon
719,938,Gigi
720,940,"Adventures of Robin Hood, The"
721,941,"Mark of Zorro, The"
722,942,Laura
723,943,"Ghost and Mrs. Muir, The"
724,944,Lost Horizon
725,945,Top Hat
726,946,To Be or Not to Be
727,947,My Man Godfrey
728,948,Giant
729,949,East of Eden
730,950,"Thin Man, The"
731,951,His Girl Friday
732,952,Around the World in 80 Days
733,953,It's a Wonderful Life
734,954,Mr. Smith Goes to Washington
735,955,Bringing Up Baby
736,956,Penny Serenade
737,959,Of Human Bondage
738,961,Little Lord Fauntleroy
739,963,"Inspector General, The"
740,965,"39 Steps, The"
741,968,Night of the Living Dead
742,969,"African Queen, The"
743,970,Beat the Devil
744,971,Cat on a Hot Tin Roof
745,973,Meet John Doe
746,976,"Farewell to Arms, A"
747,979,Nothing Personal
748,981,Dangerous Ground
749,982,Picnic
750,984,"Pompatus of Love, The"
751,986,Fly Away Home
752,987,Bliss
753,988,Grace of My Heart
754,990,Maximum Risk
755,991,Michael Collins
756,993,Infinity
757,994,Big Night
758,996,Last Man Standing
759,998,Set It Off
760,999,2 Days in the Valley
761,1003,Extreme Measures
762,1004,"Glimmer Man, The"
763,1005,D3: The Mighty Ducks
764,1006,"Chamber, The"
765,1007,"Apple Dumpling Gang, The"
766,1008,"Davy Crockett, King of the Wild Frontier"
767,1009,Escape to Witch Mountain
768,1010,"Love Bug, The"
769,1011,Herbie Rides Again
770,1012,Old Yeller
771,1013,"Parent Trap, The"
772,1014,Pollyanna
773,1015,Homeward Bound: The Incredible Journey
774,1016,"Shaggy Dog, The"
775,1017,Swiss Family Robinson
776,1018,That Darn Cat!
777,1019,"20,000 Leagues Under the Sea"
778,1020,Cool Runnings
779,1021,Angels in the Outfield
780,1022,Cinderella
781,1023,Winnie the Pooh and the Blustery Day
782,1024,"Three Caballeros, The"
783,1025,"Sword in the Stone, The"
784,1027,Robin Hood: Prince of Thieves
785,1028,Mary Poppins
786,1029,Dumbo
787,1030,Pete's Dragon
788,1031,Bedknobs and Broomsticks
789,1032,Alice in Wonderland
790,1033,"Fox and the Hound, The"
791,1034,Freeway
792,1035,"Sound of Music, The"
793,1036,Die Hard
794,1037,"Lawnmower Man, The"
795,1040,"Secret Agent, The"
796,1041,Secrets & Lies
797,1042,That Thing You Do!
798,1043,To Gillian on Her 37th Birthday
799,1046,Beautiful Thing
800,1047,"Long Kiss Goodnight, The"
801,1049,"Ghost and the Darkness, The"
802,1050,Looking for Richard
803,1051,Trees Lounge
804,1053,Normal Life
805,1054,Get on the Bus
806,1055,Shadow Conspiracy
807,1056,Jude
808,1057,Everyone Says I Love You
809,1059,William Shakespeare's Romeo + Juliet
810,1060,Swingers
811,1061,Sleepers
812,1064,Aladdin and the King of Thieves
813,1066,Shall We Dance
814,1068,Crossfire
815,1073,Willy Wonka & the Chocolate Factory
816,1076,"Innocents, The"
817,1077,Sleeper
818,1078,Bananas
819,1079,"Fish Called Wanda, A"
820,1080,Monty Python's Life of Brian
821,1081,Victor/Victoria
822,1082,"Candidate, The"
823,1083,"Great Race, The"
824,1084,Bonnie and Clyde
825,1085,"Old Man and the Sea, The"
826,1086,Dial M for Murder
827,1088,Dirty Dancing
828,1089,Reservoir Dogs
829,1090,Platoon
830,1091,Weekend at Bernie's
831,1092,Basic Instinct
832,1093,"Doors, The"
833,1094,"Crying Game, The"
834,1095,Glengarry Glen Ross
835,1096,Sophie's Choice
836,1097,E.T. the Extra-Terrestrial
837,1099,"Christmas Carol, A"
838,1100,Days of Thunder
839,1101,Top Gun
840,1103,Rebel Without a Cause
841,1104,"Streetcar Named Desire, A"
842,1105,Children of the Corn IV: The Gathering
843,1107,Loser
844,1111,Microcosmos (Microcosmos: Le peuple de l'herbe)
845,1112,Palookaville
846,1114,"Funeral, The"
847,1116,"Single Girl, A (Fille seule, La)"
848,1117,"Eighth Day, The (Huitième jour, Le)"
849,1119,Drunks
850,1120,"People vs. Larry Flynt, The"
851,1121,Glory Daze
852,1123,"Perfect Candidate, A"
853,1124,On Golden Pond
854,1125,"Return of the Pink Panther, The"
855,1126,Drop Dead Fred
856,1127,"Abyss, The"
857,1128,"Fog, The"
858,1129,Escape from New York
859,1130,"Howling, The"
860,1131,Jean de Florette
861,1132,Manon of the Spring (Manon des sources)
862,1135,Private Benjamin
863,1136,Monty Python and the Holy Grail
864,1137,Hustler White
865,1140,Entertaining Angels: The Dorothy Day Story
866,1144,"Line King: The Al Hirschfeld Story, The"
867,1147,When We Were Kings
868,1148,Wallace & Gromit: The Wrong Trousers
869,1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)"
870,1151,Lesson Faust
871,1156,"Children Are Watching Us, The (Bambini ci guardano, I)"
872,1161,"Tin Drum, The (Blechtrommel, Die)"
873,1162,"Ruling Class, The"
874,1163,Mina Tannenbaum
875,1167,Dear God
876,1170,Best of the Best 3: No Turning Back
877,1171,Bob Roberts
878,1172,Cinema Paradiso (Nuovo cinema Paradiso)
879,1173,"Cook the Thief His Wife & Her Lover, The"
880,1175,Delicatessen
881,1176,"Double Life of Veronique, The (Double Vie de Véronique, La)"
882,1177,Enchanted April
883,1178,Paths of Glory
884,1179,"Grifters, The"
885,1180,Hear My Song
886,1183,"English Patient, The"
887,1184,Mediterraneo
888,1185,My Left Foot
889,1186,"Sex, Lies, and Videotape"
890,1187,Passion Fish
891,1188,Strictly Ballroom
892,1189,"Thin Blue Line, The"
893,1190,Tie Me Up! Tie Me Down! (¡Átame!)
894,1191,Madonna: Truth or Dare
895,1192,Paris Is Burning
896,1193,One Flew Over the Cuckoo's Nest
897,1194,Cheech and Chong's Up in Smoke
898,1196,Star Wars: Episode V - The Empire Strikes Back
899,1197,"Princess Bride, The"
900,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)
901,1199,Brazil
902,1200,Aliens
903,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)"
904,1202,Withnail & I
905,1203,12 Angry Men
906,1204,Lawrence of Arabia
907,1206,"Clockwork Orange, A"
908,1207,To Kill a Mockingbird
909,1208,Apocalypse Now
910,1209,Once Upon a Time in the West (C'era una volta il West)
911,1210,Star Wars: Episode VI - Return of the Jedi
912,1211,"Wings of Desire (Himmel über Berlin, Der)"
913,1212,"Third Man, The"
914,1213,Goodfellas
915,1214,Alien
916,1215,Army of Darkness
917,1216,"Big Blue, The (Grand bleu, Le)"
918,1217,Ran
919,1218,"Killer, The (Die xue shuang xiong)"
920,1219,Psycho
921,1220,"Blues Brothers, The"
922,1221,"Godfather: Part II, The"
923,1222,Full Metal Jacket
924,1223,"Grand Day Out with Wallace and Gromit, A"
925,1224,Henry V
926,1225,Amadeus
927,1226,"Quiet Man, The"
928,1227,Once Upon a Time in America
929,1228,Raging Bull
930,1230,Annie Hall
931,1231,"Right Stuff, The"
932,1232,Stalker
933,1233,"Boot, Das (Boat, The)"
934,1234,"Sting, The"
935,1235,Harold and Maude
936,1236,Trust
937,1237,"Seventh Seal, The (Sjunde inseglet, Det)"
938,1238,Local Hero
939,1240,"Terminator, The"
940,1241,Dead Alive (Braindead)
941,1242,Glory
942,1243,Rosencrantz and Guildenstern Are Dead
943,1244,Manhattan
944,1245,Miller's Crossing
945,1246,Dead Poets Society
946,1247,"Graduate, The"
947,1248,Touch of Evil
948,1249,"Femme Nikita, La (Nikita)"
949,1250,"Bridge on the River Kwai, The"
950,1251,8 1/2 (8½)
951,1252,Chinatown
952,1253,"Day the Earth Stood Still, The"
