movieId,title,combined_features
235,Ed Wood,comedy drama comedy drama movie business 
236,French Kiss,action comedy romance action comedy romance  
237,Forget Paris,comedy romance comedy romance basketball france infertility 
238,Far From Home: The Adventures of Yellow Dog,adventure children adventure children  
239,"Goofy Movie, A",animation children comedy romance animation children comedy romance  
240,Hideaway,thriller thriller  
241,Fluke,children drama children drama  
242,Farinelli: il castrato,drama musical drama musical  
243,Gordy,children comedy fantasy children comedy fantasy  
246,Hoop Dreams,documentary documentary basketball 
247,Heavenly Creatures,crime drama crime drama australia 
248,Houseguest,comedy comedy bad sinbad 
249,Immortal Beloved,drama romance drama romance beethoven 
250,Heavyweights (Heavy Weights),children comedy children comedy  
251,"Hunted, The",action action  
252,I.Q.,comedy romance comedy romance einstein 
253,Interview with the Vampire: The Vampire Chronicles,drama horror drama horror  
254,Jefferson in Paris,drama drama  
255,"Jerky Boys, The",comedy comedy  
256,Junior,comedy sci-fi comedy sci-fi  
257,Just Cause,mystery thriller mystery thriller court 
258,"Kid in King Arthur's Court, A",adventure children comedy fantasy romance adventure children comedy fantasy romance  
259,Kiss of Death,crime drama thriller crime drama thriller  
260,Star Wars: Episode IV - A New Hope,action adventure sci-fi action adventure sci-fi classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure epic classic nerd classic sci-fi space action space epic oldie but goodie sci-fi star wars robots and androids space classic sci-fi sci-fi space adventure star wars darth vader luke skywalker space opera 
261,Little Women,drama drama louisa may alcott 
262,"Little Princess, A",children drama children drama england girl power india 
263,Ladybird Ladybird,drama drama  
265,Like Water for Chocolate (Como agua para chocolate),drama fantasy romance drama fantasy romance  
266,Legends of the Fall,drama romance war western drama romance war western  
267,Major Payne,comedy comedy  
269,My Crazy Life (Mi vida loca),drama drama  
270,Love Affair,drama romance drama romance  
271,Losing Isaiah,drama drama  
272,"Madness of King George, The",comedy drama comedy drama england mental illness 
273,Mary Shelley's Frankenstein (Frankenstein),drama horror sci-fi drama horror sci-fi gothic 
274,Man of the House,comedy comedy  
275,Mixed Nuts,comedy comedy  
276,Milk Money,comedy romance comedy romance  
277,Miracle on 34th Street,drama drama christmas 
278,Miami Rhapsody,comedy comedy  
279,My Family,drama drama in netflix queue 
280,Murder in the First,drama thriller drama thriller prison 
281,Nobody's Fool,comedy drama romance comedy drama romance  
282,Nell,drama drama disability twins 
283,New Jersey Drive,crime drama crime drama  
284,New York Cop (Nyû Yôku no koppu),action crime action crime  
285,Beyond Bedlam,drama horror drama horror  
287,Nina Takes a Lover,comedy romance comedy romance  
288,Natural Born Killers,action crime thriller action crime thriller brutality controversial dark comedy psychedelic satire stylized 
289,Only You,comedy romance comedy romance  
290,Once Were Warriors,crime drama crime drama in netflix queue 
291,Poison Ivy II,drama thriller drama thriller  
292,Outbreak,action drama sci-fi thriller action drama sci-fi thriller  
293,Léon: The Professional (a.k.a. The Professional) (Léon),action crime drama thriller action crime drama thriller assassin jean reno hit men action assassin assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hit men hitman humorous imdb top 250 jean reno lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique 
294,"Perez Family, The",comedy romance comedy romance  
295,"Pyromaniac's Love Story, A",comedy romance comedy romance  
296,Pulp Fiction,comedy crime drama thriller comedy crime drama thriller good dialogue great soundtrack non-linear cult film drugs quentin tarantino tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric awesome bad ass bad language bad-ass bible biblical references big boys with guns big name actors black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns harvey keitel heroin highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony john travolta killer-as-protagonist los angeles mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order palme d'or parody philosophical pop culture references psychological pulp quentin tarantino quirky quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro roger avary royal with cheese samuel l. jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter steve buscemi storytelling stylish stylized suspense tarantino thought-provoking thriller travolta twist ending uma thurman unique unpredictable unusual very funny violence violent witty 
298,Pushing Hands (Tui shou),drama drama  
299,Priest,drama drama  
300,Quiz Show,drama drama tv 
301,Picture Bride (Bijo photo),drama romance drama romance  
302,"Queen Margot (Reine Margot, La)",drama romance drama romance  
303,"Quick and the Dead, The",action thriller western action thriller western  
304,Roommates,comedy drama comedy drama  
305,Ready to Wear (Pret-A-Porter),comedy comedy  
306,Three Colors: Red (Trois couleurs: Rouge),drama drama  
307,Three Colors: Blue (Trois couleurs: Bleu),drama drama death 
308,Three Colors: White (Trzy kolory: Bialy),comedy drama comedy drama marriage cynical 
310,Rent-a-Kid,comedy comedy  
311,Relative Fear,horror thriller horror thriller  
312,Stuart Saves His Family,comedy comedy  
313,"Swan Princess, The",animation children animation children  
314,"Secret of Roan Inish, The",children drama fantasy mystery children drama fantasy mystery  
315,"Specialist, The",action drama thriller action drama thriller  
316,Stargate,action adventure sci-fi action adventure sci-fi time travel 
317,"Santa Clause, The",comedy drama fantasy comedy drama fantasy christmas 
318,"Shawshank Redemption, The",crime drama crime drama prison stephen king wrongful imprisonment morgan freeman 
319,Shallow Grave,comedy drama thriller comedy drama thriller  
320,Suture,film-noir thriller film-noir thriller  
321,Strawberry and Chocolate (Fresa y chocolate),drama drama  
322,Swimming with Sharks,comedy drama comedy drama  
324,"Sum of Us, The",comedy drama comedy drama  
325,National Lampoon's Senior Trip,comedy comedy  
326,To Live (Huozhe),drama drama in netflix queue 
327,Tank Girl,action comedy sci-fi action comedy sci-fi  
328,Tales from the Crypt Presents: Demon Knight,horror thriller horror thriller  
329,Star Trek: Generations,adventure drama sci-fi adventure drama sci-fi enterprise 
330,Tales from the Hood,action crime horror action crime horror  
331,Tom & Viv,drama drama  
332,Village of the Damned,horror sci-fi horror sci-fi  
333,Tommy Boy,comedy comedy  
334,Vanya on 42nd Street,drama drama  
335,Underneath,mystery thriller mystery thriller  
336,"Walking Dead, The",drama war drama war  
337,What's Eating Gilbert Grape,drama drama mental illness 
338,Virtuosity,action sci-fi thriller action sci-fi thriller serial killer 
339,While You Were Sleeping,comedy romance comedy romance coma 
340,"War, The",adventure drama war adventure drama war  
341,Double Happiness,drama drama  
342,Muriel's Wedding,comedy comedy australia weddings 
343,"Baby-Sitters Club, The",children children  
344,Ace Ventura: Pet Detective,comedy comedy  
345,"Adventures of Priscilla, Queen of the Desert, The",comedy drama comedy drama cross dressing men in drag remade 
346,Backbeat,drama musical drama musical  
347,Bitter Moon,drama film-noir romance drama film-noir romance  
348,Bullets Over Broadway,comedy comedy  
349,Clear and Present Danger,action crime drama thriller action crime drama thriller tom clancy 
350,"Client, The",drama mystery thriller drama mystery thriller john grisham 
351,"Corrina, Corrina",comedy drama romance comedy drama romance interracial romance 
352,Crooklyn,comedy drama comedy drama  
353,"Crow, The",action crime fantasy thriller action crime fantasy thriller  
354,Cobb,drama drama  
355,"Flintstones, The",children comedy fantasy children comedy fantasy  
356,Forrest Gump,comedy drama romance war comedy drama romance war shrimp vietnam bubba gump shrimp lieutenant dan stupid is as stupid does bittersweet emotional heartwarming touching 
357,Four Weddings and a Funeral,comedy romance comedy romance wedding 
358,Higher Learning,drama drama  
359,I Like It Like That,comedy drama romance comedy drama romance  
360,I Love Trouble,action comedy action comedy  
361,It Could Happen to You,comedy drama romance comedy drama romance gambling 
362,"Jungle Book, The",adventure children romance adventure children romance  
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",documentary documentary holocaust in netflix queue 
364,"Lion King, The",adventure animation children drama musical imax adventure animation children drama musical imax disney disney animated feature oscar (best music - original score) soundtrack disney 
365,Little Buddha,drama drama  
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",drama horror mystery thriller drama horror mystery thriller  
367,"Mask, The",action comedy crime fantasy action comedy crime fantasy  
368,Maverick,adventure comedy western adventure comedy western  
369,Mrs. Parker and the Vicious Circle,drama drama  
370,Naked Gun 33 1/3: The Final Insult,action comedy action comedy  
371,"Paper, The",comedy drama comedy drama journalism 
372,Reality Bites,comedy drama romance comedy drama romance  
373,Red Rock West,thriller thriller  
374,Richie Rich,children comedy children comedy  
376,"River Wild, The",action thriller action thriller  
377,Speed,action romance thriller action romance thriller bus 
378,Speechless,comedy romance comedy romance  
379,Timecop,action sci-fi thriller action sci-fi thriller  
380,True Lies,action adventure comedy romance thriller action adventure comedy romance thriller spies 
381,When a Man Loves a Woman,drama romance drama romance alcoholism 
382,Wolf,drama horror romance thriller drama horror romance thriller  
383,Wyatt Earp,western western  
384,Bad Company,action crime drama action crime drama  
385,"Man of No Importance, A",drama drama  
386,S.F.W.,drama drama  
387,"Low Down Dirty Shame, A",action comedy action comedy  
388,Boys Life,drama drama  
389,"Colonel Chabert, Le",drama romance war drama romance war  
390,Faster Pussycat! Kill! Kill!,action crime drama action crime drama  
391,Jason's Lyric,crime drama crime drama  
393,Street Fighter,action adventure fantasy action adventure fantasy  
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),action fantasy action fantasy  
406,Federal Hill,drama drama  
407,In the Mouth of Madness,horror thriller horror thriller  
408,8 Seconds,drama drama  
409,Above the Rim,crime drama crime drama  
410,Addams Family Values,children comedy fantasy children comedy fantasy black comedy christina ricci christopher lloyd dark comedy family gothic 
412,"Age of Innocence, The",drama drama edith wharton 
413,Airheads,comedy comedy comedy 
414,"Air Up There, The",comedy comedy  
415,Another Stakeout,comedy thriller comedy thriller  
416,Bad Girls,western western  
417,Barcelona,comedy romance comedy romance  
418,Being Human,drama drama  
419,"Beverly Hillbillies, The",comedy comedy  
420,Beverly Hills Cop III,action comedy crime thriller action comedy crime thriller  
421,Black Beauty,adventure children drama adventure children drama horses 
422,Blink,thriller thriller  
423,Blown Away,action thriller action thriller  
424,Blue Chips,drama drama  
425,Blue Sky,drama romance drama romance mental illness oscar (best actress) 
426,Body Snatchers,horror sci-fi thriller horror sci-fi thriller  
427,Boxing Helena,drama mystery romance thriller drama mystery romance thriller  
428,"Bronx Tale, A",drama drama  
429,Cabin Boy,comedy comedy  
430,Calendar Girl,comedy drama comedy drama  
431,Carlito's Way,crime drama crime drama al pacino gangster mafia 
432,City Slickers II: The Legend of Curly's Gold,adventure comedy western adventure comedy western  
433,Clean Slate,comedy comedy  
434,Cliffhanger,action adventure thriller action adventure thriller  
435,Coneheads,comedy sci-fi comedy sci-fi  
436,Color of Night,drama thriller drama thriller  
437,Cops and Robbersons,comedy comedy  
438,"Cowboy Way, The",action comedy drama action comedy drama  
440,Dave,comedy romance comedy romance president 
441,Dazed and Confused,comedy comedy  
442,Demolition Man,action adventure sci-fi action adventure sci-fi  
444,Even Cowgirls Get the Blues,comedy romance comedy romance  
445,Fatal Instinct,comedy comedy  
446,Farewell My Concubine (Ba wang bie ji),drama romance drama romance  
448,Fearless,drama drama  
449,Fear of a Black Hat,comedy comedy  
450,With Honors,comedy drama comedy drama  
451,Flesh and Bone,drama mystery romance drama mystery romance  
452,Widows' Peak,drama drama  
453,For Love or Money,comedy romance comedy romance  
454,"Firm, The",drama thriller drama thriller john grisham 
455,Free Willy,adventure children drama adventure children drama  
456,Fresh,crime drama thriller crime drama thriller  
457,"Fugitive, The",thriller thriller based on a tv show 
458,Geronimo: An American Legend,drama western drama western  
459,"Getaway, The",action adventure crime drama romance thriller action adventure crime drama romance thriller  
460,Getting Even with Dad,comedy comedy  
461,Go Fish,drama romance drama romance  
464,Hard Target,action adventure crime thriller action adventure crime thriller  
466,Hot Shots! Part Deux,action comedy war action comedy war  
467,Live Nude Girls,comedy comedy  
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",comedy romance comedy romance  
469,"House of the Spirits, The",drama romance drama romance  
470,House Party 3,comedy comedy  
471,"Hudsucker Proxy, The",comedy comedy hula hoop 
472,I'll Do Anything,comedy drama comedy drama  
473,In the Army Now,comedy war comedy war  
474,In the Line of Fire,action thriller action thriller assassination 
475,In the Name of the Father,drama drama ireland 
476,"Inkwell, The",comedy drama comedy drama  
477,What's Love Got to Do with It?,drama musical drama musical biopic 
478,Jimmy Hollywood,comedy crime drama comedy crime drama  
479,Judgment Night,action crime thriller action crime thriller  
480,Jurassic Park,action adventure sci-fi thriller action adventure sci-fi thriller dinosaur 
481,Kalifornia,drama thriller drama thriller  
482,Killing Zoe,crime drama thriller crime drama thriller  
484,Lassie,adventure children adventure children  
485,Last Action Hero,action adventure comedy fantasy action adventure comedy fantasy  
486,Life with Mikey,comedy comedy  
487,Lightning Jack,comedy western comedy western  
488,M. Butterfly,drama romance drama romance japan sexuality 
489,Made in America,comedy comedy  
490,Malice,thriller thriller  
491,"Man Without a Face, The",drama drama  
492,Manhattan Murder Mystery,comedy mystery comedy mystery  
493,Menace II Society,action crime drama action crime drama  
494,Executive Decision,action adventure thriller action adventure thriller  
495,In the Realm of the Senses (Ai no corrida),drama drama  
496,What Happened Was...,comedy drama romance thriller comedy drama romance thriller  
497,Much Ado About Nothing,comedy romance comedy romance shakespeare 
499,Mr. Wonderful,comedy romance comedy romance  
500,Mrs. Doubtfire,comedy drama comedy drama cross dressing divorce men in drag 
501,Naked,drama drama  
502,"Next Karate Kid, The",action children romance action children romance  
504,No Escape,action drama sci-fi action drama sci-fi  
505,North,comedy comedy  
506,Orlando,drama fantasy romance drama fantasy romance  
507,"Perfect World, A",crime drama thriller crime drama thriller  
508,Philadelphia,drama drama aids 
509,"Piano, The",drama romance drama romance  
510,Poetic Justice,drama drama  
511,"Program, The",action drama action drama  
512,"Puppet Masters, The",horror sci-fi horror sci-fi  
513,Radioland Murders,comedy mystery romance comedy mystery romance radio show business 
514,"Ref, The",comedy comedy  
515,"Remains of the Day, The",drama romance drama romance butler housekeeper 
516,Renaissance Man,comedy drama comedy drama military 
517,Rising Sun,action drama mystery action drama mystery  
518,"Road to Wellville, The",comedy comedy  
519,RoboCop 3,action crime drama sci-fi thriller action crime drama sci-fi thriller  
520,Robin Hood: Men in Tights,comedy comedy  
521,Romeo Is Bleeding,crime thriller crime thriller  
522,Romper Stomper,action drama action drama australia racism violence 
523,Ruby in Paradise,drama drama  
524,Rudy,drama drama football 
526,"Savage Nights (Nuits fauves, Les)",drama drama  
527,Schindler's List,drama war drama war moving thought-provoking holocaust based on a true story biography disturbing holocaust 
528,"Scout, The",comedy drama comedy drama  
529,Searching for Bobby Fischer,drama drama chess 
531,"Secret Garden, The",children drama children drama in netflix queue 
532,Serial Mom,comedy crime horror comedy crime horror  
533,"Shadow, The",action adventure fantasy mystery action adventure fantasy mystery  
534,Shadowlands,drama romance drama romance c.s. lewis 
535,Short Cuts,drama drama large cast 
536,"Simple Twist of Fate, A",drama drama  
537,Sirens,drama drama  
538,Six Degrees of Separation,drama drama race 
539,Sleepless in Seattle,comedy drama romance comedy drama romance empire state building 
540,Sliver,thriller thriller bad 
541,Blade Runner,action sci-fi thriller action sci-fi thriller sci-fi robots androids artificial intelligence atmospheric cyberpunk future mindfuck philip k. dick atmospheric dreamlike existentialism philosophical 
542,Son in Law,comedy drama romance comedy drama romance  
543,So I Married an Axe Murderer,comedy romance thriller comedy romance thriller beat poetry 
544,Striking Distance,action crime action crime  
546,Super Mario Bros.,action adventure children comedy fantasy sci-fi action adventure children comedy fantasy sci-fi  
547,Surviving the Game,action adventure thriller action adventure thriller  
548,Terminal Velocity,action mystery thriller action mystery thriller  
549,Thirty-Two Short Films About Glenn Gould,drama musical drama musical  
550,Threesome,comedy romance comedy romance  
551,"Nightmare Before Christmas, The",animation children fantasy musical animation children fantasy musical christmas halloween 
552,"Three Musketeers, The",action adventure comedy romance action adventure comedy romance knights 
553,Tombstone,action drama western action drama western  
555,True Romance,crime thriller crime thriller  
556,"War Room, The",documentary documentary politics 
558,"Pagemaster, The",action adventure animation children fantasy action adventure animation children fantasy  
562,Welcome to the Dollhouse,comedy drama comedy drama adolescence 
563,Germinal,drama romance drama romance  
564,Chasers,comedy comedy  
567,Kika,comedy drama comedy drama  
568,Bhaji on the Beach,comedy drama comedy drama  
569,Little Big League,comedy drama comedy drama  
573,"Ciao, Professore! (Io speriamo che me la cavo)",drama drama  
574,Spanking the Monkey,comedy drama comedy drama  
575,"Little Rascals, The",children comedy children comedy  
577,Andre,adventure children drama adventure children drama  
579,"Escort, The (Scorta, La)",crime thriller crime thriller  
580,Princess Caraboo,drama drama  
581,"Celluloid Closet, The",documentary documentary  
583,Dear Diary (Caro Diario),comedy drama comedy drama  
585,"Brady Bunch Movie, The",comedy comedy  
586,Home Alone,children comedy children comedy christmas 
587,Ghost,comedy drama fantasy romance thriller comedy drama fantasy romance thriller overrated 
